,ID,Approved
0,APPA70109647212,0.027559156
1,APPB10687939341,0.1000565879
2,APPC80449411414,0.0041829742
3,APPD30665094501,0.000906443
4,APPE80379821637,0.0476411854
5,APPF90611935733,0.0188705167
6,APPG20993415813,0.1257503049
7,APPH30656456927,0.0140659567
8,APPI70297912043,0.0603456499
9,APPJ50119937105,0.1462374302
10,APPK30106042233,0.0438627144
11,APPL40962417345,0.0146766163
12,APPM90265624408,0.0011774307
13,APPN80816878501,0.0553421897
14,APPO80036467625,0.010355652
15,APPP70300016724,0.0958010763
16,APPQ20714935844,0.1055620255
17,APPR10725816917,0.0300891201
18,APPT80995817106,0.0007829195
19,APPU10455032232,0.0162746926
20,APPV20523998348,0.010827379
21,APPW70096327441,0.0182319105
22,APPX50146048546,0.0077869871
23,APPY80200205609,0.0356003131
24,APPZ70268239711,0.2291592035
25,APPB10908859928,0.0572666411
26,APPC60646419006,0.0006949767
27,APPD70986505145,0.0037596478
28,APPE40974536227,0.0009410357
29,APPF80212605331,0.0307266798
30,APPG70118514422,0.0447089439
31,APPH60330147508,0.0031357167
32,APPI70857836611,0.025383131
33,APPL20333186904,0.0807269718
34,APPM70580221014,0.0064013277
35,APPN30606238135,0.0862353858
36,APPQ60782014415,0.0618842288
37,APPT80140966721,0.1778459083
38,APPU80930365832,0.0021715293
39,APPV80124518928,0.000430332
40,APPW90476067036,0.0295133667
41,APPX90531514107,0.1624777509
42,APPY80613652222,0.1526046259
43,APPA60775566448,0.0353357775
44,APPC70771774625,0.1386651175
45,APPF80168055929,0.0387389439
46,APPG50757073027,0.1012612013
47,APPH30859115106,0.0040585044
48,APPJ10885387332,0.0887959605
49,APPK40949346408,0.1118119812
50,APPL60776142522,1.1309081529022E-006
51,APPN50729023734,0.0005867336
52,APPP70407207923,0.0669655249
53,APPR40227782118,0.2305446822
54,APPV80504514517,0.0226827438
55,APPW80566048613,0.0027898977
56,APPX80187469727,0.0206795679
57,APPZ30260508907,0.0056585316
58,APPA50518171015,0.1302250346
59,APPB40882474103,0.0217981368
60,APPC60427976226,0.1308782957
61,APPD90513037337,0.1638384903
62,APPG50800243623,0.2024729043
63,APPH10433332748,0.0219667657
64,APPI40348921805,0.0463209706
65,APPJ80439618906,0.0009298764
66,APPK30634359001,0.0016721441
67,APPL40047305118,0.0908479584
68,APPM70985326241,0.0019421356
69,APPN20760216327,0.0223583443
70,APPO10519239445,0.018667332
71,APPP70822536506,0.0039671521
72,APPQ10182368643,0.0424575411
73,APPR30764178704,0.0076124585
74,APPS60446465843,0.009275919
75,APPT20264132924,0.0134958981
76,APPV90184745108,0.0292370883
77,APPX70050373318,0.000309373
78,APPY80240353432,0.0649899315
79,APPZ80848953507,0.0342922681
80,APPD10500401933,0.0498858506
81,APPE10200701029,0.2172033984
82,APPF90094523116,0.0916009171
83,APPG60519369247,0.1134392058
84,APPH70673564343,0.0037702139
85,APPI10312387415,0.0615182434
86,APPJ20310967521,0.0296127828
87,APPK80886344639,0.0117437307
88,APPM60863037811,0.0793572735
89,APPN50560289924,0.0668888588
90,APPO70832217022,0.1919351161
91,APPP60583131103,0.3065485097
92,APPR30748409317,0.0451816211
93,APPS10305693407,0.0027509887
94,APPT10792153527,0.0762776971
95,APPU80979985636,0.0536021476
96,APPW90127018832,0.030697429
97,APPX40629447906,0.1339717424
98,APPZ20101292145,0.0150447711
99,APPB10848417338,0.0497312548
100,APPC40239663433,0.0558817252
101,APPD20097051518,0.2436199743
102,APPE50963262622,0.0358938378
103,APPF90075697702,0.138954575
104,APPH10711077908,0.0668108946
105,APPI90021288035,9.197314975619E-005
106,APPJ80748148121,0.0008485059
107,APPK10288641218,0.0319162976
108,APPL90732086337,0.0150269965
109,APPM70990842401,0.0707115861
110,APPN80617857512,0.0008184723
111,APPO50383745617,0.0015955986
112,APPP60172178734,0.0015262259
113,APPR10764977942,0.1530421736
114,APPT10480648139,0.0293385579
115,APPU60453258232,0.0285959895
116,APPX90855367529,0.1648511127
117,APPY50250927615,0.0084437905
118,APPZ70422039734,0.0289092188
119,APPA30393886847,0.2591474168
120,APPB50127764908,0.0062175255
121,APPC10119469018,0.0364304487
122,APPD90858748146,0.0004006188
123,APPE30664988236,0.069576447
124,APPF20625877301,0.1064279595
125,APPH30151345509,0.0103560074
126,APPI50441679612,0.007809317
127,APPJ30361269731,0.1899893016
128,APPL80614874904,0.0013396184
129,APPM50228117025,0.0963143324
130,APPN70012683119,0.0294343584
131,APPO90770468211,0.0190120703
132,APPP10156766334,0.0644584714
133,APPQ40631778427,0.0047151726
134,APPR70506299542,0.143756414
135,APPS70665146644,0.1759481508
136,APPT70349004743,0.0132803697
137,APPU30993402848,0.0496437541
138,APPW20622431049,0.0059940705
139,APPY20361501233,0.1476600572
140,APPZ10238963306,0.1797168929
141,APPA30874904437,0.0307711261
142,APPB80692747529,0.1385974448
143,APPC30041629643,0.0008517452
144,APPD30315929734,0.1811712388
145,APPE10332383835,0.0017092442
146,APPF50037929916,0.0688960872
147,APPG10834503041,0.0917135371
148,APPH40967627122,0.1448813504
149,APPI70312298206,0.0008525577
150,APPJ70743728327,0.1155095559
151,APPK30679331423,0.0682269814
152,APPL60294817522,0.0004482136
153,APPM80605571641,0.005430686
154,APPO70732754849,0.0245946972
155,APPR90083345128,0.0914341392
156,APPS40024724225,0.0005650641
157,APPT10406402302,0.072473475
158,APPU60142311444,0.0405688115
159,APPX40155362702,0.004270705
160,APPY80690085843,0.1833867371
161,APPZ20729429941,0.0016432235
162,APPA30531058029,0.6148734696
163,APPB80250096128,0.0108813555
164,APPC40216184236,0.0124505685
165,APPE30598585445,0.0076191307
166,APPF10464165547,0.0054836223
167,APPG20162638632,0.2268008571
168,APPH90167759721,0.0117179783
169,APPK10401968049,0.0088346354
170,APPL80146029119,0.0190087669
171,APPM80613619234,0.0146392347
172,APPN70433746315,0.0069308757
173,APPQ50809898611,0.046439351
174,APPR30401199701,0.1109704902
175,APPT30401057907,0.0009279473
176,APPU40338646029,0.0114690998
177,APPV90359067103,0.0915925061
178,APPW10851598244,0.0469209969
179,APPX40611544343,0.0104461883
180,APPZ50667726527,0.0348084908
181,APPA60969495628,0.0215843335
182,APPB10846839717,0.001457168
183,APPD70004475949,0.0140021982
184,APPE10769524014,0.0982440654
185,APPF20373584102,0.0109023521
186,APPG80309102235,0.2883438151
187,APPH70805423317,0.1511407832
188,APPI30449607434,0.0565221329
189,APPK40305944614,0.0743690656
190,APPM80631303825,0.1318294056
191,APPN30539354908,0.013814557
192,APPO30398314007,0.0729084263
193,APPP10295059142,0.1053035859
194,APPQ40182527233,0.3123225354
195,APPR30592087313,0.0099812075
196,APPS10451308445,0.1539506461
197,APPT20436718504,0.0021496907
198,APPV10000594728,0.1219332196
199,APPW70591476837,0.2311198458
200,APPX90545539932,0.0101861482
201,APPZ20555868104,0.301439878
202,APPB50601165302,0.1039152246
203,APPC20734091446,0.0468697562
204,APPD30922661508,0.0045654045
205,APPG30388623817,0.1493019715
206,APPI50436511029,0.0215316293
207,APPK40504961223,0.0746261083
208,APPL10249834346,0.0304414475
209,APPM10566295434,0.0858033862
210,APPN20971698507,0.0340593748
211,APPQ40557318821,0.0097644624
212,APPR10411907921,0.0117295471
213,APPS60110651012,0.0575679549
214,APPT90980498131,0.1742836099
215,APPU30110017218,0.0431214887
216,APPW20800678439,0.0175493653
217,APPY20781789607,0.0071757
218,APPA50891789808,0.0335945828
219,APPB30105755939,0.0256970316
220,APPC10078523014,0.0232269783
221,APPD10297832113,0.0535651719
222,APPF10931767336,0.0384675127
223,APPG80133423412,0.1478086213
224,APPH30423329507,0.018021038
225,APPI70671544622,0.0599441302
226,APPJ70709397705,0.0008794235
227,APPK30507806814,0.0217967399
228,APPL20563609928,0.0008794235
229,APPN60526055126,0.0004173533
230,APPO60496324234,0.0243422549
231,APPP90372528312,0.085063893
232,APPQ50563508447,0.0049286627
233,APPR60834219523,0.2340080433
234,APPS90066401613,0.0817951933
235,APPT60413282714,0.0545542002
236,APPU80357653811,0.1232535923
237,APPV50558107929,0.5619202346
238,APPW80305276026,0.05479912
239,APPX40140715111,0.0208561931
240,APPY80579525228,0.0667226881
241,APPA60414888433,0.0196232729
242,APPB90587842501,0.1574913742
243,APPC40254714615,0.3240050633
244,APPD90427937716,0.033015347
245,APPE40482289843,0.0155045332
246,APPF90606858947,0.0801090327
247,APPG20179041024,0.0491308682
248,APPH10099261128,0.0815084507
249,APPI80998283208,0.045698683
250,APPJ50706714349,0.0015873763
251,APPK60768689411,0.0037769713
252,APPL60280043529,0.0933056667
253,APPM30351953604,0.0033289159
254,APPN40064845722,0.0063097017
255,APPO80082812849,0.0426122998
256,APPP40129305907,0.0459881602
257,APPR70479248144,0.0363780406
258,APPS30106692249,0.146008271
259,APPT70183535323,0.1354753595
260,APPV30072491521,0.0789570174
261,APPW90317034634,0.1350695899
262,APPX10590833748,0.0477749809
263,APPZ50321995912,0.0875298148
264,APPC20846683233,0.0269353999
265,APPD30035557339,0.0126214914
266,APPE60995955439,0.0073589209
267,APPF40348771514,0.0712190177
268,APPG60525674638,0.009779384
269,APPI60914532813,0.2957246106
270,APPJ50135705908,0.2126654286
271,APPK80834239033,0.0410623212
272,APPL30367787124,0.016722981
273,APPM50365154243,0.1562798701
274,APPN60371739317,0.0427352657
275,APPO90778031432,0.1975192238
276,APPP10865119541,0.0817944727
277,APPR60514036704,0.1627607323
278,APPS30033507847,0.003340053
279,APPU80509074044,0.0409889054
280,APPV50034531107,0.0310954195
281,APPW70561238232,0.0020329169
282,APPX20526775327,0.1176574901
283,APPY20169747403,0.1306745077
284,APPZ30470877547,0.0603893879
285,APPA90185538648,0.0912565416
286,APPB60274853705,0.0296309597
287,APPC50411636801,0.0793672294
288,APPD80328934945,0.166081344
289,APPE10454749046,0.0389406959
290,APPF20010751138,0.0001466366
291,APPG60276348205,0.3595737316
292,APPH60664183321,0.2636661954
293,APPL20765168747,0.0001754759
294,APPM20147299813,0.0872694995
295,APPN40249546913,0.0312221021
296,APPO20189822007,0.0347671097
297,APPP30921307109,0.0008328526
298,APPQ30597277245,0.0092824604
299,APPS30996555403,0.2305235364
300,APPU10700307616,0.0026656337
301,APPV60265399723,0.0012423487
302,APPW70585071834,0.0241314305
303,APPX70561392933,0.0084306397
304,APPY40565011007,0.0085574094
305,APPZ40098878108,0.0150464654
306,APPA90060573227,0.0145074
307,APPB70442734319,0.1011564691
308,APPC90770072447,0.0002872503
309,APPD30486092544,0.287940326
310,APPE10311022607,0.0056643728
311,APPF60631085717,0.0007650878
312,APPH30090413902,0.008869831
313,APPI70634288016,0.1615379544
314,APPJ90523144107,0.0178004712
315,APPK90851579202,0.1213330897
316,APPL50238334324,0.0047478098
317,APPM40451325417,0.0313218638
318,APPN90929804518,0.1954206496
319,APPO60090588603,0.061758015
320,APPP10007148712,0.006693268
321,APPR30909888915,0.2202511277
322,APPS20728482014,0.0042293316
323,APPT90977075101,0.0778692048
324,APPU70624065235,0.2988511186
325,APPV80263885346,0.0425108154
326,APPW30836935416,0.2728504509
327,APPX10532151548,0.0958554119
328,APPZ40286609738,0.3955811717
329,APPB40188979941,0.0203901943
330,APPC90796515024,0.0559594476
331,APPD40803081115,0.0143474018
332,APPE30694295241,0.1086224502
333,APPG30216561448,0.0236529535
334,APPI30712489617,0.0322744989
335,APPJ10278243703,0.1068747375
336,APPK80277621846,0.3521146707
337,APPL80078362905,0.0380025554
338,APPO60098103209,0.0348586184
339,APPP60023927349,0.0057497349
340,APPQ30612604402,0.1437598791
341,APPS60320313627,0.1013302067
342,APPT70534587715,0.0317028102
343,APPU90780836829,0.1500279993
344,APPV60622819917,0.0550814055
345,APPW70434264005,0.0250822861
346,APPX20729451101,0.0047478098
347,APPY30046504231,0.0569747601
348,APPZ80350479313,0.0358106192
349,APPA80096183429,0.0062007665
350,APPB70273443505,0.2675876182
351,APPE50142203809,0.1447103966
352,APPF10034408943,0.1457943739
353,APPH90511677131,0.0316395084
354,APPI30546095229,0.0076598966
355,APPJ80416595345,0.0181403488
356,APPK90285872443,0.0424479455
357,APPL60953579512,0.0072327855
358,APPM20644925619,0.03713075
359,APPN20225869714,0.0041935465
360,APPP90991305913,0.2225923561
361,APPQ70050552026,0.129393702
362,APPR60767582147,0.0005184832
363,APPT70410545308,0.0028893466
364,APPU10135235412,0.0732460987
365,APPW10606832628,0.0910866145
366,APPX60227485706,0.0244208213
367,APPY90764876839,0.0050224648
368,APPZ20628084928,0.0066794675
369,APPA80547519048,0.140720077
370,APPB20703102133,0.0788020662
371,APPC90727362248,0.0349967033
372,APPD20670011304,0.084717316
373,APPE60844191408,0.0289790732
374,APPF30948581526,0.0825376284
375,APPG60202918616,0.034836088
376,APPH40712615721,0.0025821846
377,APPI10123409842,0.0010504975
378,APPL30082033114,0.0079639486
379,APPO60813926409,0.0346174252
380,APPQ80765126647,0.060598186
381,APPS30481303817,0.0239138734
382,APPT50402483936,0.2774245918
383,APPU40449068016,0.157011446
384,APPV90997847138,0.2067587625
385,APPW30766041243,0.0061624538
386,APPX50585681323,0.3685132794
387,APPZ50469333546,0.0103615826
388,APPA50959811611,0.0021107204
389,APPB70963575742,0.1589947643
390,APPC40538253839,0.0004273647
391,APPD70917584927,0.1502215303
392,APPE30737089003,0.0598152263
393,APPF10850926136,0.0334197025
394,APPG90248489235,0.1179518539
395,APPH90860947347,0.0793243701
396,APPI30734581444,0.0607368237
397,APPJ70071568525,4.851340973391E-008
398,APPK30063345602,0.0243999544
399,APPL90511325735,0.0630963203
400,APPM40335888826,0.0446565926
401,APPN40298397941,0.0851803828
402,APPO80337469005,0.0012236208
403,APPP30205342136,0.1168093652
404,APPQ50283384214,0.0727623006
405,APPR60598764318,0.2127217386
406,APPS20640034406,0.0341559898
407,APPT90434682534,0.012710906
408,APPU70260393644,0.3911236785
409,APPV50716587732,0.0676941491
410,APPW10401854821,0.0748190322
411,APPX20748215949,0.1719378997
412,APPY80151839018,0.120553368
413,APPZ20847918104,0.1612384867
414,APPA40955069224,0.0836815339
415,APPB90344945306,0.1118210634
416,APPC50897719435,0.0016526343
417,APPD50349215529,0.0539563309
418,APPE70565133611,0.0270488442
419,APPG50350411819,0.0156782117
420,APPH20483931906,0.0383404006
421,APPI50849415049,0.1869433492
422,APPK20493991213,0.0008460516
